"Photon energy, eV", "n", "k"
1.502838635552724,2.93476,1.77032
1.5046624688482975,2.93396,1.76922
1.5064907343025482,2.93315,1.76812
1.5083234480912375,2.93235,1.76702
1.510160626468937,2.93154,1.76592
1.5120022857695088,2.93074,1.76482
1.51384844240659,2.92993,1.76372
1.5156991128740798,2.92913,1.76262
1.5175543137466305,2.92833,1.76152
1.5194140616801437,2.92753,1.76041
1.5212783734122666,2.92672,1.75931
1.523147265762896,2.92592,1.75821
1.5250207556346829,2.92512,1.75711
1.5268988600135431,2.92432,1.75601
1.5287815959691702,2.92352,1.75491
1.530668980655552,2.92272,1.75381
1.5325610313114921,2.92192,1.75271
1.5344577652611349,2.92112,1.75161
1.5363591999144945,2.92032,1.75051
1.5382653527679864,2.91953,1.7494
1.5401762414049653,2.91873,1.7483
1.542091883496265,2.91793,1.7472
1.5440122968007435,2.91714,1.7461
1.5459374991658317,2.91634,1.745
1.5478675085280862,2.91555,1.7439
1.5498023429137464,2.91475,1.7428
1.5517420204392955,2.91396,1.7417
1.5536865593120264,2.91316,1.7406
1.555635977830611,2.91237,1.7395
1.5575902943856748,2.91158,1.73839
1.5595495274603737,2.91078,1.73729
1.5615136956309787,2.90999,1.73619
1.5634828175674615,2.9092,1.73509
1.565456912034087,2.90841,1.73399
1.567435997890009,2.90762,1.73289
1.5694200940898697,2.90683,1.73179
1.571409219684407,2.90604,1.73069
1.5734033938210623,2.90525,1.72959
1.575402635744596,2.90446,1.72849
1.5774069647977063,2.90367,1.72738
1.5794164004216524,2.90289,1.72628
1.581430962156884,2.9021,1.72518
1.5834506696436745,2.90131,1.72408
1.5854755426227585,2.90052,1.72298
1.5875056009359758,2.89974,1.72188
1.5895408645269193,2.89895,1.72078
1.5915813534415881,2.89817,1.71968
1.593627087829045,2.89738,1.71858
1.595678087942081,2.8966,1.71748
1.5977343741378829,2.89582,1.71637
1.5997959668787058,2.89503,1.71527
1.6018628867325544,2.89425,1.71417
1.6039351543738642,2.89347,1.71307
1.6060127905841932,2.89269,1.71197
1.6080958162529144,2.89191,1.71086
1.6101842523779184,2.89113,1.70976
1.612278120066316,2.89035,1.70866
1.6143774405351525,2.88957,1.70756
1.6164822351121213,2.88879,1.70646
1.6185925252362887,2.88801,1.70536
1.6207083324588198,2.88724,1.70426
1.6228296784437135,2.88646,1.70316
1.6249565849685415,2.88568,1.70206
